NiN 2 kode;FP;SP;TKode;HTGKode;HTKode;GTKode
T35-2,3;2;2;C-PE-NA;NA-T;T-M-03;T-M-03-03
T37-1;4;4;C-PE-NA;NA-T;T-M-03;T-M-03-04
T37-3;1;4;C-PE-NA;NA-T;T-M-03;T-M-03-05
T37-3;2;4;C-PE-NA;NA-T;T-M-03;T-M-03-06
T37-2;2;4;C-PE-NA;NA-T;T-M-03;T-M-03-07
T37-2;1;4;C-PE-NA;NA-T;T-M-03;T-M-03-08
T36-2,3;4;4;C-PE-NA;NA-T;T-M-04;T-M-04-0
T36-3;4;4;C-PE-NA;NA-T;T-M-04;T-M-04-01
T36-2;4;4;C-PE-NA;NA-T;T-M-04;T-M-04-02
T36-1;4;4;C-PE-NA;NA-T;T-M-05;T-M-05-0
T36-1;1;4;C-PE-NA;NA-T;T-M-05;T-M-05-01
T36-1;2;4;C-PE-NA;NA-T;T-M-05;T-M-05-02
T38;3;2;C-PE-NA;NA-T;T-M-06;T-M-06-0
